user_id,resource_id
1010882,490
1010802,514
1011556,490
1120298,514
750528,552
1011756,356
191574,523
721673,523
183963,523
1584065,749
1317620,551
1421130,571
1318089,572
1090767,366
1112008,757
1018639,551
818124,359
1518401,566
1383174,507
729863,745
1597295,809
183794,776
1368386,551
989498,515
1157399,551
1557089,551
1557286,749
1631346,810
1010039,490
1146011,514
1876546,507
557392,504
1083826,514
1679122,507
1575370,551
1481582,502
1140515,489
1010039,514
985818,368
1120298,552
724893,1144
709821,551
1301012,776
1128510,551
1091651,516
229159,515
1508439,749
945143,745
1011230,368
1035543,489
1011093,515
85070,745
1455181,551
750484,489
1014136,809
1561956,564
1866110,1144
697604,523
1190694,489
1367737,566
1171136,367
712195,357
1009011,507
733153,368
1087443,356
718013,489
183470,523
183065,364
734962,362
1575419,551
710472,363
1508495,551
992987,515
202623,794
1131580,566
734962,363
1010167,490
1010286,363
2063186,517
795558,552
747720,551
889751,489
190925,742
1152032,564
1159859,503
1657191,794
1653962,504
1460951,564
1049107,361
640481,523
169757,551
615589,809
1340357,551
1011177,490
1077566,552
1794671,490
420591,551
721822,357
1011267,368
1595583,745
1011101,502
1607286,569
1658279,753
690136,551
702048,551
192042,551
198016,489
711910,745
205001,356
692266,551
1092994,551
1199315,502
1173156,752
1011220,368
1070881,551
1011334,490
1798476,810
1079376,514
1342440,551
220885,745
2068484,564
846928,489
1557258,569
738587,489
712070,551
1315716,551
1342449,551
1111757,519
1011359,367
734962,367
1010606,514
713175,519
1011733,523
642195,489
1369245,776
696622,551
253616,519
720296,523
711026,551
724629,551
184531,750
187077,664
1591993,563
1808538,490
719787,756
1808710,1104
173210,523
694740,566
894588,776
720101,489
1011561,502
1074512,551
731616,551
728287,518
183832,489
1011664,367
202028,359
1318241,553
179032,489
196226,515
1204007,523
707438,515
1536955,566
782013,360
707864,523
714781,364
909360,368
1011945,490
1011253,489
170912,553
1318170,551
1125413,504
1125289,551
1421004,566
1376645,764
686162,564
204461,489
1557229,361
1431857,551
715414,752
753475,514
1011630,490
407792,564
716327,502
709391,490
1707995,794
1115220,551
1078963,551
172141,361
697248,552
1011572,507
1318373,357
1229180,569
214380,360
997114,489
997114,490
1362980,523
1090897,551
1004048,490
1003307,489
1335428,745
1124620,566
190498,551
1006482,361
1260963,745
1010746,490
989498,489
1012181,514
103749,361
215832,659
1657268,757
183972,566
183442,551
206340,523
1556887,523
956141,508
1318374,551
1078091,502
1090189,552
1006548,502
968064,489
1495761,750
1091306,523
179522,523
627177,523
688494,551
693552,523
1318383,551
1086950,523
470905,490
725510,551
911597,552
1120454,502
195297,571
707511,490
770261,368
1793088,490
198148,518
1059131,553
721053,489
1059131,523
1075616,551
1314822,490
1011606,551
1868646,1102
702271,523
1091545,551
463171,551
706699,363
1115171,551
970794,358
1115232,551
988440,502
1006298,366
685883,570
168310,523
1261169,570
1261158,551
232339,791
1481942,776
170337,551
2067379,566
1868646,1101
1095412,551
1113494,551
1281208,503
161848,523
183885,523
475713,356
1025618,366
512956,507
1531553,551
746913,523
999934,507
1868646,1100
654108,523
1144887,566
1368251,764
112218,523
1012347,523
706156,523
1091381,490
175390,523
196196,553
728574,364
711978,756
901386,518
1281208,664
165633,516
188334,523
637374,551
198829,551
714375,551
104130,523
972791,523
188144,523
110175,357
1318500,551
203704,551
730025,551
1051544,490
171547,523
1322136,514
693052,523
1128637,363
186840,523
792010,489
110267,523
723867,364
198148,523
1481942,502
175684,523
825857,363
735796,523
931808,356
204716,502
690329,551
720320,523
1091348,551
743436,551
797148,515
694373,523
1895666,507
578859,523
712622,552
581289,365
1091594,551
1620482,566
587365,552
749155,566
1771582,566
107707,551
156080,363
698159,551
2068577,840
202523,571
768642,753
1318564,502
1004134,502
1175311,504
2068546,1160
211623,551
1595694,514
928815,523
1074624,489
182009,515
1059131,356
1078553,551
1016008,566
911597,523
567313,840
692052,562
741387,519
1071002,551
1771588,514
1261498,502
1573734,572
1352246,511
986586,490
721803,523
191009,514
640425,489
189252,551
185589,568
1228534,566
304595,504
646571,523
1078265,551
951557,366
1116045,679
1318558,551
165403,523
1007876,514
721779,523
718053,551
1482009,749
1085507,490
1649584,566
709535,840
1135656,507
1284767,745
1798591,515
964054,523
191285,515
1798645,756
1808363,515
2068552,814
856156,523
207106,516
985454,551
196452,551
706728,551
643277,519
1036532,551
225000,523
693556,489
1482045,551
1021944,363
1116045,504
165647,523
191173,523
1315807,551
717323,552
1115256,551
1115308,551
1114615,518
728875,523
701994,1152
745420,571
1318718,513
210672,357
882438,523
250069,523
1012473,519
1192751,551
179377,523
202494,517
470488,551
197797,515
677628,551
209342,519
103469,523
1182220,551
1082989,513
1029414,794
170462,551
1371343,562
1141714,515
708125,523
730824,515
1798573,908
253280,523
198431,523
1283336,741
191632,523
731123,517
690809,551
105745,551
1012870,523
1012898,489
177802,551
1057118,515
696227,551
1002877,514
1575681,551
721483,551
1236554,745
